IS_Number,Title,Section,Year_Notified,ICS_Code,Status,Applicable_To,Scope_Description
IS 439-3:2004,Classification an,Management and,2004,17.066,Active,asset manageme,Applicable to asset management systems manufac
IS 438-6:2015,General requirem,Management and,2015,50.058,Active,information secu,Applicable to information security management ma
IS 4096-3:2004,Specification for,"Petroleum, Coal",2004,47.089,Withdrawn,biodiesel,"Applicable to biodiesel manufactured, tested, or sol"
IS 1806-6:2017,Performance req,Water Resources,2017,63.039,Active,water pipes and,Applicable to water pipes and fittings manufactured
IS 2989-6:2015,Code of practice,Electronics and I,2015,74.079,Active,printed circuit bo,"Applicable to printed circuit boards manufactured, t"
IS 340-3:2006,Safety requireme,Mechanical Engi,2006,39.032,Active,cranes and lifting,Applicable to cranes and lifting equipment manufac
IS 354-5:2006,General requirem,Mechanical Engi,2006,78.036,Active,conveyor system,"Applicable to conveyor systems manufactured, test"
IS 334-5:2022,Performance req,Mechanical Engi,2022,78.01,Active,conveyor system,"Applicable to conveyor systems manufactured, test"
IS 825-6:1993,Guidelines for sw,Electrotechnical,1993,73.065,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 377-2:2007,Methods of test f,Mechanical Engi,2007,92.08,Under Revision,industrial fans,"Applicable to industrial fans manufactured, tested, o"
IS 602-4:2015,Performance req,Metallurgical Eng,2015,31.022,Under Revision,cast iron product,"Applicable to cast iron products manufactured, test"
IS 3790-2:1991,Specification for,Medical Equipme,1991,33.08,Active,hospital beds,"Applicable to hospital beds manufactured, tested, o"
IS 447:2014,Code of practice,Management and,2014,66.013,Withdrawn,business continu,Applicable to business continuity management man
IS 3928:2002,Code of practice,Textile,2002,86.057,Under Revision,textile dyeing me,"Applicable to textile dyeing methods manufactured,"
IS 1897-5:2000,Specification for,Chemical,2000,70.08,Active,surface coatings,"Applicable to surface coatings manufactured, tested"
IS 1769-6:1999,Guidelines for inf,Food and Agricu,1999,51.083,Under Revision,infant milk food,"Applicable to infant milk food manufactured, tested"
IS 3012-5:1990,Methods of test f,Electronics and I,1990,30.063,Active,wireless commun,Applicable to wireless communication equipment m
IS 847-2:2013,Safety requireme,Electrotechnical,2013,22.069,Withdrawn,electric motors,"Applicable to electric motors manufactured, tested,"
IS 810-3:2012,General requirem,Electrotechnical,2012,73.054,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 809-6:2001,Specification for,Electrotechnical,2001,24.028,Active,capacitors,"Applicable to capacitors manufactured, tested, or s"
IS 379-4:1995,Safety requireme,Mechanical Engi,1995,59.03,Active,pressure vessels,"Applicable to pressure vessels manufactured, teste"
IS 3011-2:1993,Sampling and tes,Electronics and I,1993,18.063,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 1837-3:2022,Methods of test f,Water Resources,2022,93.099,Active,water meters,"Applicable to water meters manufactured, tested, o"
IS 1747-4:1999,Classification an,Food and Agricu,1999,44.048,Active,fruit and vegetab,Applicable to fruit and vegetable products manufac
IS 798:2004,Specification for,Electrotechnical,2004,77.068,Active,household electr,Applicable to household electrical appliances manu
IS 1831-5:1992,Guidelines for irr,Water Resources,1992,46.015,Active,irrigation equipm,"Applicable to irrigation equipment manufactured, te"
IS 3910-5:2016,Performance req,Textile,2016,99.052,Active,textile testing me,"Applicable to textile testing methods manufactured,"
IS 3793-3:2006,Performance req,Medical Equipme,2006,81.097,Withdrawn,PPE kits,"Applicable to PPE kits manufactured, tested, or sol"
IS 379-6:2017,Performance req,Mechanical Engi,2017,68.056,Active,pumps for indust,Applicable to pumps for industrial use manufacture
IS 3668-5:2020,General requirem,Transport Engine,2020,49.094,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
IS 799-4:2001,Safety requireme,Electrotechnical,2001,68.099,Active,electric fans,"Applicable to electric fans manufactured, tested, or"
IS 1818-2:1997,Specification for,Water Resources,1997,65.092,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 844-5:2016,Safety requireme,Electrotechnical,2016,21.057,Active,electrical wiring a,Applicable to electrical wiring accessories manufac
IS 1281-6:2011,Performance req,Production and G,2011,39.041,Active,safety helmets,"Applicable to safety helmets manufactured, tested,"
IS 470-6:2003,Safety requireme,Management and,2003,46.086,Active,occupational hea,Applicable to occupational health and safety manag
IS 453-3:2002,Guidelines for inf,Management and,2002,50.072,Active,information secu,Applicable to information security management ma
IS 1751-6:2015,General requirem,Food and Agricu,2015,50.069,Active,biscuits and conf,Applicable to biscuits and confectionery manufactu
IS 4065-5:2004,Guidelines for re,Civil Engineering,2004,86.029,Active,reinforcement ba,"Applicable to reinforcement bars manufactured, tes"
IS 1848-2:2007,Methods of test f,Water Resources,2007,65.073,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 3949-6:1991,Guidelines for jut,Textile,1991,91.033,Withdrawn,jute products,"Applicable to jute products manufactured, tested, o"
IS 460-4:2023,Guidelines for re,Management and,2023,63.043,Active,records managem,Applicable to records management practices manu
IS 3794-6:2003,Specification for,Medical Equipme,2003,63.015,Active,surgical gloves,"Applicable to surgical gloves manufactured, tested,"
IS 4094-3:2018,General requirem,"Petroleum, Coal",2018,24.028,Active,liquefied petroleu,Applicable to liquefied petroleum gas manufactured
IS 574-2:2003,Classification an,Metallurgical Eng,2003,25.044,Active,wire ropes,"Applicable to wire ropes manufactured, tested, or s"
IS 3832-4:2009,Performance req,Medical Equipme,2009,41.011,Under Revision,blood pressure m,Applicable to blood pressure monitors manufacture
IS 2991-2:2003,Code of practice,Electronics and I,2003,18.099,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 347-6:1995,Classification an,Mechanical Engi,1995,72.028,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 4082-4:2021,Performance req,Civil Engineering,2021,42.02,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 460-6:2019,Sampling and tes,Management and,2019,46.095,Active,occupational hea,Applicable to occupational health and safety manag
IS 4076-2:1999,Methods of test f,Civil Engineering,1999,79.067,Under Revision,sanitary fittings,"Applicable to sanitary fittings manufactured, tested,"
IS 606-6:2003,Safety requireme,Metallurgical Eng,2003,30.094,Active,stainless steel sh,"Applicable to stainless steel sheets manufactured,"
IS 3944:2006,Guidelines for no,Textile,2006,36.014,Withdrawn,non-woven fabric,"Applicable to non-woven fabrics manufactured, test"
IS 4052-2:2009,Code of practice,Civil Engineering,2009,81.013,Withdrawn,waterproofing co,Applicable to waterproofing compounds manufactu
IS 466-6:2011,Sampling and tes,Management and,2011,77.065,Under Revision,risk managemen,Applicable to risk management guidelines manufac
IS 1242-5:1994,Classification an,Production and G,1994,79.049,Active,industrial safety e,Applicable to industrial safety equipment manufactu
IS 3007-4:2023,Sampling and tes,Electronics and I,2023,39.054,Active,mobile phone ch,Applicable to mobile phone chargers manufactured
IS 3656-3:1992,Specification for,Transport Engine,1992,25.078,Active,automotive lightin,"Applicable to automotive lighting manufactured, tes"
IS 833-6:2005,Methods of test f,Electrotechnical,2005,17.062,Active,transformers,"Applicable to transformers manufactured, tested, or"
IS 607-5:1996,Sampling and tes,Metallurgical Eng,1996,59.069,Under Revision,metal coatings,"Applicable to metal coatings manufactured, tested,"
IS 3811:1994,General requirem,Medical Equipme,1994,93.049,Active,orthopedic impla,"Applicable to orthopedic implants manufactured, te"
IS 4038-2:2011,Safety requireme,Civil Engineering,2011,55.013,Active,prefabricated stru,Applicable to prefabricated structures manufactured
IS 1927:2006,Performance req,Chemical,2006,85.024,Active,paints and varnis,"Applicable to paints and varnishes manufactured, te"
IS 3827-3:2022,Methods of test f,Medical Equipme,2022,69.043,Under Revision,wheelchairs,"Applicable to wheelchairs manufactured, tested, or"
IS 366:2000,Quality requirem,Mechanical Engi,2000,94.092,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 4087-6:2003,Specification for,"Petroleum, Coal",2003,96.084,Active,grease,"Applicable to grease manufactured, tested, or sold"
IS 573-3:2004,Specification for,Metallurgical Eng,2004,98.07,Withdrawn,forged componen,"Applicable to forged components manufactured, tes"
IS 3017-6:2017,Performance req,Electronics and I,2017,94.06,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 596-6:1991,Sampling and tes,Metallurgical Eng,1991,30.055,Active,stainless steel sh,"Applicable to stainless steel sheets manufactured,"
IS 3659-6:2003,Specification for,Transport Engine,2003,84.083,Active,railway coach fitt,"Applicable to railway coach fittings manufactured, t"
IS 3020:2018,Safety requireme,Electronics and I,2018,96.061,Under Revision,LED lighting prod,"Applicable to LED lighting products manufactured,"
IS 3666:2016,Specification for,Transport Engine,2016,65.048,Active,tractor safety sta,Applicable to tractor safety standards manufactured
IS 2997-2:2009,Code of practice,Electronics and I,2009,30.079,Active,wireless commun,Applicable to wireless communication equipment m
IS 4072-4:2009,Methods of test f,Civil Engineering,2009,42.095,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 1742-3:1992,Safety requireme,Food and Agricu,1992,62.039,Active,wheat flour,"Applicable to wheat flour manufactured, tested, or s"
IS 4118:2020,Methods of test f,"Petroleum, Coal",2020,60.079,Active,kerosene,"Applicable to kerosene manufactured, tested, or so"
IS 4122-3:2022,Sampling and tes,"Petroleum, Coal",2022,96.056,Active,grease,"Applicable to grease manufactured, tested, or sold"
IS 1766:2000,Methods of test f,Food and Agricu,2000,51.011,Active,packaged drinkin,Applicable to packaged drinking water manufacture
IS 603-5:2016,Performance req,Metallurgical Eng,2016,40.07,Withdrawn,galvanized steel,"Applicable to galvanized steel manufactured, tested"
IS 1275-2:2007,Sampling and tes,Production and G,2007,86.086,Withdrawn,industrial gloves,"Applicable to industrial gloves manufactured, tested"
IS 1930-4:1995,Performance req,Chemical,1995,21.023,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 3838-6:2017,Sampling and tes,Medical Equipme,2017,81.036,Withdrawn,PPE kits,"Applicable to PPE kits manufactured, tested, or sol"
IS 579-3:2004,Code of practice,Metallurgical Eng,2004,98.082,Active,copper wire rods,"Applicable to copper wire rods manufactured, teste"
IS 3821-3:2016,Methods of test f,Medical Equipme,2016,99.013,Active,disposable syring,"Applicable to disposable syringes manufactured, te"
IS 4079-5:1996,Safety requireme,Civil Engineering,1996,42.062,Active,structural steel fo,Applicable to structural steel for buildings manufact
IS 3803-5:2000,General requirem,Medical Equipme,2000,76.062,Withdrawn,X-ray equipment,"Applicable to X-ray equipment manufactured, teste"
IS 574-2:1997,Classification an,Metallurgical Eng,1997,25.044,Active,wire ropes,"Applicable to wire ropes manufactured, tested, or s"
IS 357-6:2013,Code of practice,Mechanical Engi,2013,72.063,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 4062-6:1999,Code of practice,Civil Engineering,1999,56.065,Withdrawn,doors and windo,"Applicable to doors and windows manufactured, tes"
IS 801-2:2005,Performance req,Electrotechnical,2005,80.092,Under Revision,LED luminaires,"Applicable to LED luminaires manufactured, tested"
IS 451:1994,Guidelines for fo,Management and,1994,65.049,Under Revision,food safety mana,Applicable to food safety management systems ma
IS 1785-2:2013,Safety requireme,Food and Agricu,2013,96.01,Withdrawn,tea,"Applicable to tea manufactured, tested, or sold in In"
IS 1240-5:2022,Specification for,Production and G,2022,86.036,Withdrawn,industrial gloves,"Applicable to industrial gloves manufactured, tested"
IS 585-3:2016,Code of practice,Metallurgical Eng,2016,34.061,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 3008-5:2018,Sampling and tes,Electronics and I,2018,31.033,Active,power adapters,"Applicable to power adapters manufactured, tested"
IS 441-5:2020,Classification an,Management and,2020,74.015,Under Revision,hazard analysis a,Applicable to hazard analysis and critical control po
IS 1744:1990,Classification an,Food and Agricu,1990,63.075,Under Revision,milk and milk pro,"Applicable to milk and milk products manufactured,"
IS 1248:1996,Specification for,Production and G,1996,52.058,Active,surface roughnes,Applicable to surface roughness measurement man
IS 4130-5:2002,Sampling and tes,"Petroleum, Coal",2002,40.016,Under Revision,petroleum jelly,"Applicable to petroleum jelly manufactured, tested,"
IS 4042-6:2009,Safety requireme,Civil Engineering,2009,56.071,Withdrawn,doors and windo,"Applicable to doors and windows manufactured, tes"
IS 1810-6:2003,Specification for,Water Resources,2003,71.082,Active,water storage tan,"Applicable to water storage tanks manufactured, te"
IS 3814-2:2009,Code of practice,Medical Equipme,2009,25.082,Active,dental equipmen,"Applicable to dental equipment manufactured, teste"
IS 3815-3:1996,Code of practice,Medical Equipme,1996,33.097,Active,diagnostic reage,"Applicable to diagnostic reagents manufactured, te"
IS 426-4:2007,Specification for,Management and,2007,65.052,Under Revision,food safety mana,Applicable to food safety management systems ma
IS 3915-4:2007,Classification an,Textile,2007,94.067,Active,cotton yarn,"Applicable to cotton yarn manufactured, tested, or s"
IS 846-5:2016,Sampling and tes,Electrotechnical,2016,80.017,Under Revision,LED luminaires,"Applicable to LED luminaires manufactured, tested"
IS 3945-4:2017,Sampling and tes,Textile,2017,94.068,Active,cotton yarn,"Applicable to cotton yarn manufactured, tested, or s"
IS 1847:1992,Methods of test f,Water Resources,1992,98.097,Active,dam safety inspe,"Applicable to dam safety inspection manufactured,"
IS 1840-6:1991,Methods of test f,Water Resources,1991,71.093,Active,water storage tan,"Applicable to water storage tanks manufactured, te"
IS 3694-3:2022,Sampling and tes,Transport Engine,2022,84.013,Active,railway coach fitt,"Applicable to railway coach fittings manufactured, t"
IS 1838-6:2005,Guidelines for wa,Water Resources,2005,64.011,Under Revision,water pumps for,Applicable to water pumps for irrigation manufactur
IS 3686-3:2002,Methods of test f,Transport Engine,2002,25.059,Active,automotive lightin,"Applicable to automotive lighting manufactured, tes"
IS 3952:2012,Methods of test f,Textile,2012,85.068,Active,wool products,"Applicable to wool products manufactured, tested, o"
IS 3665-6:2001,Specification for,Transport Engine,2001,53.077,Active,commercial vehic,Applicable to commercial vehicle bodies manufactu
IS 3687-6:2005,Guidelines for ch,Transport Engine,2005,49.065,Under Revision,child safety seats,"Applicable to child safety seats manufactured, teste"
IS 2985-2:2003,Specification for,Electronics and I,2003,55.029,Under Revision,electronic point o,Applicable to electronic point of sale terminals man
IS 1828-2:1995,General requirem,Water Resources,1995,65.032,Under Revision,groundwater rech,Applicable to groundwater recharge structures man
IS 1272:2006,Methods of test f,Production and G,2006,98.015,Active,ergonomic desig,Applicable to ergonomic design of workstations ma
IS 1816-4:2013,Classification an,Water Resources,2013,53.013,Active,flood control stru,Applicable to flood control structures manufactured
IS 3950:2006,Performance req,Textile,2006,94.091,Active,cotton yarn,"Applicable to cotton yarn manufactured, tested, or s"
IS 3663-4:1993,Specification for,Transport Engine,1993,71.015,Withdrawn,automotive batte,"Applicable to automotive batteries manufactured, te"
IS 442-4:2019,General requirem,Management and,2019,66.052,Withdrawn,business continu,Applicable to business continuity management man
IS 456-4:2003,Methods of test f,Management and,2003,65.076,Under Revision,food safety mana,Applicable to food safety management systems ma
IS 3680:1994,Quality requirem,Transport Engine,1994,28.07,Active,automotive glass,"Applicable to automotive glass manufactured, teste"
IS 805-2:1991,Specification for,Electrotechnical,1991,61.035,Active,electric irons,"Applicable to electric irons manufactured, tested, or"
IS 378:1992,Sampling and tes,Mechanical Engi,1992,19.084,Withdrawn,machine tools,"Applicable to machine tools manufactured, tested, o"
IS 472-6:1997,Sampling and tes,Management and,1997,10.098,Withdrawn,supply chain sec,Applicable to supply chain security management m
IS 1262:1994,Quality requirem,Production and G,1994,98.046,Active,ergonomic desig,Applicable to ergonomic design of workstations ma
IS 3838-4:2021,Performance req,Medical Equipme,2021,67.068,Withdrawn,hospital furniture,"Applicable to hospital furniture manufactured, teste"
IS 4108-3:1996,Code of practice,"Petroleum, Coal",1996,12.078,Active,transformer oil,"Applicable to transformer oil manufactured, tested,"
IS 4114:2020,Quality requirem,"Petroleum, Coal",2020,36.03,Active,industrial waxes,"Applicable to industrial waxes manufactured, tested"
IS 800-3:1992,Specification for,Electrotechnical,1992,73.062,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 1840-6:2019,Methods of test f,Water Resources,2019,71.093,Active,water storage tan,"Applicable to water storage tanks manufactured, te"
IS 1760-3:2010,General requirem,Food and Agricu,2010,36.032,Withdrawn,carbonated beve,"Applicable to carbonated beverages manufactured,"
IS 3813:1994,Code of practice,Medical Equipme,1994,67.058,Withdrawn,hospital furniture,"Applicable to hospital furniture manufactured, teste"
IS 4112-3:2002,Guidelines for gr,"Petroleum, Coal",2002,96.013,Active,grease,"Applicable to grease manufactured, tested, or sold"
IS 592-6:2019,Guidelines for pig,Metallurgical Eng,2019,96.066,Under Revision,pig iron,"Applicable to pig iron manufactured, tested, or sold"
IS 1781-4:1995,Safety requireme,Food and Agricu,1995,51.027,Active,packaged drinkin,Applicable to packaged drinking water manufacture
IS 1900-2:2011,Specification for,Chemical,2011,85.052,Under Revision,leather chemicals,"Applicable to leather chemicals manufactured, teste"
IS 4111-6:2019,Code of practice,"Petroleum, Coal",2019,47.052,Withdrawn,biodiesel,"Applicable to biodiesel manufactured, tested, or sol"
IS 1737-6:2003,Performance req,Food and Agricu,2003,62.054,Active,wheat flour,"Applicable to wheat flour manufactured, tested, or s"
IS 1764-5:2018,Code of practice,Food and Agricu,2018,19.021,Under Revision,food colours,"Applicable to food colours manufactured, tested, or"
IS 1840-2:2021,Guidelines for eff,Water Resources,2021,43.095,Active,effluent treatmen,"Applicable to effluent treatment manufactured, teste"
IS 3942:2020,Quality requirem,Textile,2020,85.092,Active,wool products,"Applicable to wool products manufactured, tested, o"
IS 3830-6:1997,Methods of test f,Medical Equipme,1997,33.016,Active,diagnostic reage,"Applicable to diagnostic reagents manufactured, te"
IS 1817-5:1994,Classification an,Water Resources,1994,78.026,Active,canal lining meth,"Applicable to canal lining methods manufactured, te"
IS 821-2:2023,General requirem,Electrotechnical,2023,80.082,Under Revision,LED luminaires,"Applicable to LED luminaires manufactured, tested"
IS 3836-6:2017,Safety requireme,Medical Equipme,2017,99.02,Active,disposable syring,"Applicable to disposable syringes manufactured, te"
IS 4071-3:2008,Methods of test f,Civil Engineering,2008,32.088,Under Revision,building lime,"Applicable to building lime manufactured, tested, or"
IS 4107-6:1993,Quality requirem,"Petroleum, Coal",1993,96.084,Active,grease,"Applicable to grease manufactured, tested, or sold"
IS 1738-5:2022,Safety requireme,Food and Agricu,2022,40.06,Active,food additives,"Applicable to food additives manufactured, tested, o"
IS 4053:2002,Quality requirem,Civil Engineering,2002,11.058,Active,cement,"Applicable to cement manufactured, tested, or sold"
IS 2997-6:2013,Quality requirem,Electronics and I,2013,94.019,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 450-4:1991,Code of practice,Management and,1991,63.09,Active,records managem,Applicable to records management practices manu
IS 3951-6:2005,Methods of test f,Textile,2005,35.071,Active,surgical dressing,Applicable to surgical dressing materials manufactu
IS 4036-2:2019,Performance req,Civil Engineering,2019,79.077,Under Revision,sanitary fittings,"Applicable to sanitary fittings manufactured, tested,"
IS 3806-4:2005,Classification an,Medical Equipme,2005,93.018,Active,orthopedic impla,"Applicable to orthopedic implants manufactured, te"
IS 3926-3:1998,Classification an,Textile,1998,35.075,Active,surgical dressing,Applicable to surgical dressing materials manufactu
IS 1913:2014,Quality requirem,Chemical,2014,27.027,Active,cosmetics,"Applicable to cosmetics manufactured, tested, or so"
IS 1751-4:1999,Code of practice,Food and Agricu,1999,51.044,Active,packaged drinkin,Applicable to packaged drinking water manufacture
IS 1925-3:2022,Methods of test f,Chemical,2022,70.047,Under Revision,rubber products,"Applicable to rubber products manufactured, tested"
IS 4068-6:2005,Methods of test f,Civil Engineering,2005,37.043,Active,road aggregates,"Applicable to road aggregates manufactured, tested"
IS 437-5:2020,General requirem,Management and,2020,25.068,Withdrawn,energy managem,Applicable to energy management systems manufa
IS 3663-4:1999,Specification for,Transport Engine,1999,71.015,Withdrawn,automotive batte,"Applicable to automotive batteries manufactured, te"
IS 3829-3:2022,Sampling and tes,Medical Equipme,2022,63.085,Active,surgical gloves,"Applicable to surgical gloves manufactured, tested,"
IS 342:1990,Classification an,Mechanical Engi,1990,69.037,Under Revision,gears and gearbo,"Applicable to gears and gearboxes manufactured, t"
IS 1243-2:1997,Specification for,Production and G,1997,22.098,Active,material handling,Applicable to material handling equipment manufac
IS 1750-3:2004,Specification for,Food and Agricu,2004,36.07,Withdrawn,carbonated beve,"Applicable to carbonated beverages manufactured,"
IS 3959-2:2005,Safety requireme,Textile,2005,42.099,Withdrawn,geotextiles,"Applicable to geotextiles manufactured, tested, or s"
IS 3687-4:2017,Methods of test f,Transport Engine,2017,34.099,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 4113-2:2015,Methods of test f,"Petroleum, Coal",2015,73.028,Active,lubricants for eng,"Applicable to lubricants for engines manufactured,"
IS 358:1994,Code of practice,Mechanical Engi,1994,19.022,Withdrawn,machine tools,"Applicable to machine tools manufactured, tested, o"
IS 1756-5:1992,General requirem,Food and Agricu,1992,44.067,Active,honey,"Applicable to honey manufactured, tested, or sold i"
IS 1736:2018,Specification for,Food and Agricu,2018,51.09,Active,packaged drinkin,Applicable to packaged drinking water manufacture
IS 1820-2:2017,Classification an,Water Resources,2017,43.096,Active,effluent treatmen,"Applicable to effluent treatment manufactured, teste"
IS 1284-3:2000,Performance req,Production and G,2000,27.047,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 4082-6:2017,Sampling and tes,Civil Engineering,2017,56.043,Withdrawn,doors and windo,"Applicable to doors and windows manufactured, tes"
IS 450-6:2013,Guidelines for oc,Management and,2013,46.068,Active,occupational hea,Applicable to occupational health and safety manag
IS 3935-4:1997,Guidelines for co,Textile,1997,94.098,Active,cotton yarn,"Applicable to cotton yarn manufactured, tested, or s"
IS 1926-4:1995,Methods of test f,Chemical,1995,50.028,Withdrawn,lubricating oils,"Applicable to lubricating oils manufactured, tested,"
IS 2992-3:2018,Code of practice,Electronics and I,2018,94.038,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 604-4:2001,Safety requireme,Metallurgical Eng,2001,67.078,Active,steel bars for con,"Applicable to steel bars for concrete manufactured,"
IS 1906-4:2005,General requirem,Chemical,2005,50.083,Withdrawn,lubricating oils,"Applicable to lubricating oils manufactured, tested,"
IS 371-2:1993,Methods of test f,Mechanical Engi,1993,18.069,Active,compressors,"Applicable to compressors manufactured, tested, o"
IS 3955-6:1997,Performance req,Textile,1997,19.07,Active,carpets and floor,Applicable to carpets and floor coverings manufactu
IS 1832-6:2013,Guidelines for wa,Water Resources,2013,93.048,Active,water meters,"Applicable to water meters manufactured, tested, o"
IS 3010:2006,Sampling and tes,Electronics and I,2006,96.072,Under Revision,LED lighting prod,"Applicable to LED lighting products manufactured,"
IS 4049-3:2018,Classification an,Civil Engineering,2018,80.095,Active,earthquake resis,Applicable to earthquake resistant design manufact
IS 4057-3:1996,General requirem,Civil Engineering,1996,56.068,Withdrawn,doors and windo,"Applicable to doors and windows manufactured, tes"
IS 3005-4:2003,Methods of test f,Electronics and I,2003,96.067,Under Revision,LED lighting prod,"Applicable to LED lighting products manufactured,"
IS 444-2:2003,Quality requirem,Management and,2003,18.066,Active,environmental m,Applicable to environmental management systems
IS 4066-4:2003,Methods of test f,Civil Engineering,2003,72.044,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 4085-6:2009,Safety requireme,"Petroleum, Coal",2009,41.011,Under Revision,petroleum solven,"Applicable to petroleum solvents manufactured, tes"
IS 1270:2006,Guidelines for ind,Production and G,2006,52.062,Withdrawn,industrial noise c,"Applicable to industrial noise control manufactured,"
IS 1828-4:1991,Quality requirem,Water Resources,1991,75.015,Under Revision,sewage treatmen,Applicable to sewage treatment methods manufact
IS 568-6:1995,Safety requireme,Metallurgical Eng,1995,98.086,Withdrawn,forged componen,"Applicable to forged components manufactured, tes"
IS 1737-4:2021,Safety requireme,Food and Agricu,2021,44.074,Active,fruit and vegetab,Applicable to fruit and vegetable products manufac
IS 337-2:1991,Performance req,Mechanical Engi,1991,92.034,Under Revision,industrial fans,"Applicable to industrial fans manufactured, tested, o"
IS 3668-5:2000,General requirem,Transport Engine,2000,49.094,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
IS 452-6:1999,Code of practice,Management and,1999,10.077,Withdrawn,supply chain sec,Applicable to supply chain security management m
IS 830-5:2018,Guidelines for ele,Electrotechnical,2018,61.082,Active,electric irons,"Applicable to electric irons manufactured, tested, or"
IS 1266-3:1996,Guidelines for sa,Production and G,1996,39.095,Active,safety helmets,"Applicable to safety helmets manufactured, tested,"
IS 1840-6:2005,Methods of test f,Water Resources,2005,71.093,Active,water storage tan,"Applicable to water storage tanks manufactured, te"
IS 1250:2002,Classification an,Production and G,2002,52.047,Withdrawn,industrial noise c,"Applicable to industrial noise control manufactured,"
IS 1778-5:1990,Sampling and tes,Food and Agricu,1990,40.061,Active,food additives,"Applicable to food additives manufactured, tested, o"
IS 1267-2:2015,Methods of test f,Production and G,2015,79.069,Active,industrial safety e,Applicable to industrial safety equipment manufactu
IS 596-4:2023,Guidelines for sh,Metallurgical Eng,2023,93.077,Active,sheet metal prod,"Applicable to sheet metal products manufactured, t"
IS 1778-3:2014,Performance req,Food and Agricu,2014,10.058,Active,spices and condi,Applicable to spices and condiments manufactured
IS 4062-2:2001,Guidelines for wa,Civil Engineering,2001,81.083,Withdrawn,waterproofing co,Applicable to waterproofing compounds manufactu
IS 374-5:1990,Methods of test f,Mechanical Engi,1990,78.038,Active,conveyor system,"Applicable to conveyor systems manufactured, test"
IS 827-6:2019,Code of practice,Electrotechnical,2019,84.075,Withdrawn,electric geysers,"Applicable to electric geysers manufactured, tested"
IS 4082-4:2001,Performance req,Civil Engineering,2001,42.02,Withdrawn,tiles and flooring,"Applicable to tiles and flooring manufactured, tested"
IS 454-6:2019,Quality requirem,Management and,2019,17.059,Active,asset manageme,Applicable to asset management systems manufac
IS 3671-2:2017,General requirem,Transport Engine,2017,71.012,Active,bicycle compone,"Applicable to bicycle components manufactured, te"
IS 4060-4:1991,Code of practice,Civil Engineering,1991,31.045,Active,foundation engin,Applicable to foundation engineering manufactured
IS 449-5:2012,Guidelines for en,Management and,2012,18.025,Active,environmental m,Applicable to environmental management systems
IS 1829-5:2006,Quality requirem,Water Resources,2006,68.068,Withdrawn,borewell construc,"Applicable to borewell construction manufactured, t"
IS 4081:2004,Safety requireme,Civil Engineering,2004,72.079,Under Revision,concrete mix des,"Applicable to concrete mix design manufactured, te"
IS 336:2004,Performance req,Mechanical Engi,2004,94.033,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 1934-6:1997,Safety requireme,Chemical,1997,37.093,Active,industrial adhesiv,"Applicable to industrial adhesives manufactured, te"
IS 1822-2:2023,General requirem,Water Resources,2023,78.032,Active,canal lining meth,"Applicable to canal lining methods manufactured, te"
IS 350-5:2006,Code of practice,Mechanical Engi,2006,40.021,Active,industrial fastene,"Applicable to industrial fasteners manufactured, tes"
IS 2990-3:2004,General requirem,Electronics and I,2004,79.055,Under Revision,audio and video,Applicable to audio and video equipment manufact
IS 3818-4:1997,Quality requirem,Medical Equipme,1997,67.092,Withdrawn,hospital furniture,"Applicable to hospital furniture manufactured, teste"
IS 375-2:2007,Performance req,Mechanical Engi,2007,40.044,Active,industrial fastene,"Applicable to industrial fasteners manufactured, tes"
IS 343-2:2011,Classification an,Mechanical Engi,2011,48.015,Withdrawn,hydraulic cylinde,"Applicable to hydraulic cylinders manufactured, tes"
IS 4126-3:2008,Methods of test f,"Petroleum, Coal",2008,47.078,Withdrawn,biodiesel,"Applicable to biodiesel manufactured, tested, or sol"
IS 3936:1994,Quality requirem,Textile,1994,28.099,Active,protective clothin,"Applicable to protective clothing manufactured, test"
